Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Rev/Age
11-05-2014,11,May,2014,32,Young Adults (25-34),M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,26,45,120,1888,1170,3058,95.5625
11-05-2016,11,May,2016,32,Young Adults (25-34),M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,27,45,120,1960,1215,3175,99.21875
29-09-2013,29,September,2013,33,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,369,225,594,18
29-09-2015,29,September,2015,33,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,221,135,356,10.78787879
16-05-2014,16,May,2014,33,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,15,45,120,1107,675,1782,54
16-05-2016,16,May,2016,33,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,15,45,120,1107,675,1782,54
23-05-2014,23,May,2014,42,Adults (35-64),M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,73,45,118,2.80952381
23-05-2016,23,May,2016,42,Adults (35-64),M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,218,135,353,8.404761905
06-08-2013,6,August,2013,42,Adults (35-64),M,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,17,45,120,989,765,1754,41.76190476
06-08-2015,6,August,2015,42,Adults (35-64),M,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,16,45,120,931,720,1651,39.30952381
14-10-2013,14,October,2013,43,Adults (35-64),F,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,486,450,936,21.76744186
14-10-2015,14,October,2015,43,Adults (35-64),F,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,486,450,936,21.76744186
06-12-2013,6,December,2013,43,Adults (35-64),F,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,486,450,936,21.76744186
06-12-2015,6,December,2015,43,Adults (35-64),F,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,437,405,842,19.58139535
18-12-2013,18,December,2013,45,Adults (35-64),F,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,146,135,281,6.244444444
18-12-2015,18,December,2015,45,Adults (35-64),F,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,97,90,187,4.155555556
13-09-2013,13,September,2013,53,Adults (35-64),M,United Kingdom,England,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,281,180,461,8.698113208
13-09-2015,13,September,2015,53,Adults (35-64),M,United Kingdom,England,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,140,90,230,4.339622642
27-10-2013,27,October,2013,21,Youth (<25),F,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,149,135,284,13.52380952
27-10-2015,27,October,2015,21,Youth (<25),F,Australia,Victoria,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,50,45,95,4.523809524
02-01-2014,2,January,2014,34,Young Adults (25-34),F,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,297,225,522,15.35294118
02-01-2016,2,January,2016,34,Young Adults (25-34),F,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,178,135,313,9.205882353
10-05-2014,10,May,2014,22,Youth (<25),F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,73,45,118,5.363636364
10-05-2016,10,May,2016,22,Youth (<25),F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,73,45,118,5.363636364
27-04-2014,27,April,2014,67,Seniors (64+),F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,145,90,235,3.507462687
27-04-2016,27,April,2016,67,Seniors (64+),F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,73,45,118,1.76119403
22-12-2013,22,December,2013,31,Young Adults (25-34),M,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,146,135,281,9.064516129
22-12-2015,22,December,2015,31,Young Adults (25-34),M,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,243,225,468,15.09677419
28-11-2013,28,November,2013,31,Young Adults (25-34),M,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,12,45,120,698,540,1238,39.93548387
28-11-2015,28,November,2015,31,Young Adults (25-34),M,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,12,45,120,698,540,1238,39.93548387
28-07-2014,28,July,2014,37,Adults (35-64),M,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,238,180,418,11.2972973
28-07-2016,28,July,2016,37,Adults (35-64),M,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,178,135,313,8.459459459
13-04-2014,13,April,2014,26,Young Adults (25-34),M,Australia,Queensland,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,279,225,504,19.38461538
13-04-2016,13,April,2016,26,Young Adults (25-34),M,Australia,Queensland,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,391,315,706,27.15384615
19-02-2014,19,February,2014,87,Seniors (64+),F,Germany,Saarland,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,107,90,197,2.264367816
19-02-2016,19,February,2016,87,Seniors (64+),F,Germany,Saarland,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,160,135,295,3.390804598
09-12-2013,9,December,2013,25,Young Adults (25-34),F,Germany,Nordrhein-Westfalen,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,119,90,209,8.36
09-12-2015,9,December,2015,25,Young Adults (25-34),F,Germany,Nordrhein-Westfalen,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,178,135,313,12.52
17-05-2014,17,May,2014,31,Young Adults (25-34),F,Germany,Hamburg,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,200,135,335,10.80645161
17-05-2016,17,May,2016,31,Young Adults (25-34),F,Germany,Hamburg,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,133,90,223,7.193548387
06-06-2014,6,June,2014,32,Young Adults (25-34),F,France,Loir et Cher,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,309,225,534,16.6875
06-06-2016,6,June,2016,32,Young Adults (25-34),F,France,Loir et Cher,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,433,315,748,23.375
18-08-2013,18,August,2013,25,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,148,90,238,9.52
18-08-2015,18,August,2015,25,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,221,135,356,14.24
20-09-2013,20,September,2013,26,Young Adults (25-34),F,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,486,450,936,36
20-09-2015,20,September,2015,26,Young Adults (25-34),F,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,437,405,842,32.38461538
29-12-2013,29,December,2013,26,Young Adults (25-34),F,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,243,225,468,18
29-12-2015,29,December,2015,26,Young Adults (25-34),F,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,97,90,187,7.192307692
30-03-2014,30,March,2014,33,Young Adults (25-34),M,Australia,Queensland,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,446,360,806,24.42424242
30-03-2016,30,March,2016,33,Young Adults (25-34),M,Australia,Queensland,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,446,360,806,24.42424242
09-11-2013,9,November,2013,29,Young Adults (25-34),F,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,407,315,722,24.89655172
09-11-2015,9,November,2015,29,Young Adults (25-34),F,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,466,360,826,28.48275862
31-12-2013,31,December,2013,24,Youth (<25),F,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,291,225,516,21.5
31-12-2015,31,December,2015,24,Youth (<25),F,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,407,315,722,30.08333333
30-08-2013,30,August,2013,31,Young Adults (25-34),M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,508,315,823,26.5483871
30-08-2015,30,August,2015,31,Young Adults (25-34),M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,436,270,706,22.77419355
04-11-2013,4,November,2013,40,Adults (35-64),M,United States,Kentucky,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,63,45,108,2.7
04-11-2015,4,November,2015,40,Adults (35-64),M,United States,Kentucky,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,63,45,108,2.7
31-01-2014,31,January,2014,44,Adults (35-64),M,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,594,450,1044,23.72727273
31-01-2016,31,January,2016,44,Adults (35-64),M,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,12,45,120,713,540,1253,28.47727273
28-05-2014,28,May,2014,44,Adults (35-64),M,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,238,180,418,9.5
28-05-2016,28,May,2016,44,Adults (35-64),M,Australia,New South Wales,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,356,270,626,14.22727273
07-09-2013,7,September,2013,21,Youth (<25),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,148,90,238,11.33333333
07-09-2015,7,September,2015,21,Youth (<25),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119,5.666666667
17-04-2014,17,April,2014,25,Young Adults (25-34),M,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,349,270,619,24.76
17-04-2016,17,April,2016,25,Young Adults (25-34),M,United States,Oregon,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,407,315,722,28.88
29-09-2013,29,September,2013,25,Young Adults (25-34),M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,653,405,1058,42.32
29-09-2015,29,September,2015,25,Young Adults (25-34),M,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,653,405,1058,42.32
31-07-2013,31,July,2013,29,Young Adults (25-34),F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,25,45,120,1815,1125,2940,101.3793103
31-07-2015,31,July,2015,29,Young Adults (25-34),F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,22,45,120,1597,990,2587,89.20689655
03-08-2013,3,August,2013,29,Young Adults (25-34),F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,11,45,120,799,495,1294,44.62068966
03-08-2015,3,August,2015,29,Young Adults (25-34),F,United States,California,Accessories,Bike Racks,Hitch Rack - 4-Bike,11,45,120,799,495,1294,44.62068966
27-02-2014,27,February,2014,55,Adults (35-64),F,United States,Washington,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,97,90,187,3.4
